Processes,Subset_%,N_train,N_test,T_comp (s),T_comm (s),T_total (s),GFLOP/s,Accuracy
16,25,359,90,0.023458300000129384,0.008716399999684654,0.03219139999964682,0.017629922031763553,0.9777777777777777
16,50,718,180,0.10194480000018302,0.006177700000080222,0.10814349999964179,0.01622713468462374,0.9833333333333333
16,75,1077,270,0.19402960000024905,0.02388780000001134,0.21793450000041048,0.01811748310564722,0.9962962962962963
16,100,1437,360,0.36741440000014336,0.019289799999569368,0.38671830000021146,0.017271484187874848,0.9833333333333333
