Processes,Subset_%,N_train,N_test,T_comp (s),T_comm (s),T_total (s),GFLOP/s,Accuracy
4,25,359,90,0.03140429999984917,0.0027744999997594277,0.034188499999800115,0.05048174931482676,0.9777777777777777
4,50,718,180,0.13160740000012083,0.008334200000263081,0.13995459999978266,0.04713655919039738,0.9833333333333333
4,75,1077,270,0.29846489999999903,0.0208241000000271,0.319303399999626,0.04711211268058671,0.9962962962962963
4,100,1437,360,0.5436311999997088,0.029234299999643554,0.5728785999999673,0.04567684856942225,0.9833333333333333
