Processes,Subset_%,N_train,N_test,T_comp (s),T_comm (s),T_total (s),GFLOP/s,Accuracy
2,25,359,90,0.06368659999998272,0.00044200000002092565,0.06413639999982479,0.048703494926732496,0.9777777777777777
2,50,718,180,0.25134109999999055,0.0005762999999205931,0.2519275999998172,0.04936335521727432,0.9833333333333333
2,75,1077,270,0.5626652000000831,0.0006376999999702093,0.5633154000001923,0.04961358904015368,0.9962962962962963
2,100,1437,360,0.9777682000003551,0.0007473999999092484,0.9785271999999168,0.050791915711701364,0.9833333333333333
