Processes,Subset_%,N_train,N_test,T_comp (s),T_comm (s),T_total (s),GFLOP/s,Accuracy
8,25,359,90,0.027498100000229897,0.008332999999765889,0.03584159999991243,0.03007975096436062,0.9777777777777777
8,50,718,180,0.09540819999983796,0.011803300000337913,0.10722499999974389,0.033232866776706664,0.9833333333333333
8,75,1077,270,0.1894828000004054,0.07583810000005542,0.26533530000006067,0.03710445486336996,0.9962962962962963
8,100,1437,360,0.3633418999997957,0.06844279999995706,0.4317988000002515,0.03417079065201943,0.9833333333333333
